dataset,instruction,input,output,alternative_a,alternative_b,alternative_c,alternative_d
MedMCQA,Em qual das seguintes doenças cardíacas a mortalidade materna é encontrada em maior número?,,A,Complexo de Eisenmenger,Coarctação da aorta,Estenose mitral,Estenose aórtica
MedMCQA,"Um paciente jovem apresentou-se ao pronto-socorro com histórico de abuso de substâncias. Sua frequência cardíaca era de 130 batimentos por minuto e a frequência respiratória era de 30 por minuto. A análise do gás sanguíneo revelou acidose metabólica e sua ureia era de 100 mg/dL e creatinina de 4 mg/dL. A urinálise revelou cristais de oxalato de cálcio. Ele melhorou sintomaticamente após o tratamento com fluidos intravenosos, lavagem gástrica, bicarbonato de sódio, gluconato de cálcio e administração de 4-metilpirazol. Qual é a substância mais provável que ele consumiu?",,C,Formaldeído,Metanol,Etilenoglicol,Paraldeído
MedMCQA,"Uma menina de 3 anos com marcos de desenvolvimento atrasados, brincando sozinha, dificuldade de aprendizado provavelmente está sofrendo de",,B,Retardo mental,Autismo,Transtorno específico de aprendizagem,TDAH
MedMCQA,"Após a parotidectomia, o paciente sente dormência ao se barbear. Qual nervo foi afetado?",,D,Facial,Mandibular,Auriculotemporal,Auricular maior
MedMCQA,O disco articular da ATM é:,,D,Mais espesso posteriormente,Estreito no centro,Fortalecido pelo músculo pterigoide lateral,Todas as alternativas acima
MedMCQA,Todas essas afirmações são verdadeiras sobre microalbuminúria,,A,Os níveis de proteína na urina variam de 20 mg/d a 200 mg/d,É um fator de risco independente para morbidade cardiovascular em pacientes diabéticos,É o marcador mais precoce de nefropatia diabética,Não é detectado pelo método de fita reagente de rotina
MedMCQA,A microscopia de contraste de fase é baseada no princípio de:,,A,Diferentes índices de refração do objeto,Diferentes índices de reflexão do objeto,Dispersão de luz,Atenuação de luz
MedMCQA,"Antes de registrar a transferência de um arco facial arbitrário, o dentista deve determinar:",,C,Posição de repouso fisiológico,Inclinação de cada côndilo,Centro axial de rotação do côndilo,Eixo cinemático do movimento do côndilo
MedMCQA,"Em uma criança de 4 anos com ASOM, o organismo infectante provavelmente é -",,A,Pneumococo,H.influenza,Estreptococo,Estafilococo
MedMCQA,Aumento de calorias necessário durante a gravidez: setembro de 2012,,A,300,400,550,800
MedMCQA,"Uma mulher de 45 anos apresentou-se com uma história de um caroço indolor na mama de tamanho 6 x 5 cm no quadrante superior esquerdo, sem linfonodos axilares. Uma biópsia verdadeira foi sugestiva de carcinoma ductal in situ. Ela passa por uma cirurgia com ressecção de todo o tecido tumoral com margens adequadas e o exame histopatológico pós-operatório mostra CDIS com necrose de alto grau com 4 mm de margem de segurança. O que é necessário?",,C,Quimioterapia adjuvante,Quimiorradioterapia adjuvante,Radioterapia adjuvante,Nenhum tratamento adicional
MedMCQA,"As vacinas recém-introduzidas incluem todas, exceto:",,B,Rota vírus,Influenza,Dengue,Vacina contra a malária
MedMCQA,Um homem que sofreu uma fratura deslocada da mandíbula reclama de dor no antigo local da fratura próximo ao forame mental. Há uma massa móvel e sensível à palpação na área. O melhor diagnóstico pré-operatório é:,,D,Neuroleiomioma,Neurofibroma,Neuralgia trigeminal,Neuroma traumático
MedMCQA,O desvio padrão das médias mede -,,B,Erros não amostrais,Erro amostral,Erros aleatórios,Erros conceituais
MedMCQA,A doença de Addison é devido a:,,A,Insuficiência crônica da córtex adrenal,Insuficiência crônica da medula adrenal,Insuficiência do pâncreas,Hipofunção da glândula tireoide
MedMCQA,Qual é a melhor distribuição para estudar a admissão diária de pacientes com lesões na cabeça em um centro de atendimento de trauma?,,D,Distribuição normal,Distribuição binomial,Distribuição uniforme,Distribuição de Poisson
MedMCQA,"No Inlay e nas coroas de 3/4, qual é o principal objetivo do bisel?",,A,Remover as hastes de esmalte não suportadas,Aumentar a retenção,Fornecer resistência secundária,Nenhuma das opções acima
MedMCQA,"Uma mulher de 35 anos com coriocarcinoma, o tratamento de escolha é:",,D,Dilatação e evacuação,Radioterapia,Histerectomia,Quimioterapia
MedMCQA,"Em pacientes pós-esplenectomia, as chances de infecção aumentam com qual desses:",,A,Bactérias encapsuladas,Bactérias não encapsuladas,Bacilos anaeróbios e gram-positivos,Bacilos anaeróbios e gram-negativos
MedMCQA,Qual das seguintes instruções deve ser dada a uma mãe lactante em relação ao uso de medicamentos?,,C,"Não é necessário aconselhamento, pois a maioria dos medicamentos é secretada de forma negligenciável no leite",Tomar medicamentos com meia-vida mais longa,Dizer a ela para alimentar o bebê logo antes da próxima dose,Não alimente o bebê se estiver consumindo algum medicamento
MedMCQA,Qual das seguintes opções representa a taxa de absorção do medicamento no gráfico de concentração plasmática?,,A,Tmax e Cmax,Área sob a curva,Apenas Tmax,Apenas Cmax
MedMCQA,Uma menina de 2 anos foi tratada com sucesso para infecção do trato urinário. Qual é o próximo passo no tratamento?,,C,Não fazer nada,Ultrassom,Ultrassom + exame DMSA,Cultura de sensibilidade a cada 6 meses
MedMCQA,"Uma criança de 4 anos tem um complemento normal de dentes de leite, mas eles são cinzas e apresentam desgaste extenso nas superfícies de oclusão e incisais. O exame radiográfico indica depósitos extensos de dentina secundária nesses dentes. Provavelmente, essa condição é:",,D,Hipoplasia neonatal,Amelogênese imperfeita,Displasia cleidocraniana,Dentinogênese imperfeita
MedMCQA,A condutividade térmica de qual material é próxima à dentina:,,B,Amálgama,Silicato,Resina composta,Verniz de cavidade
MedMCQA,A sela túrcica está acima de:,,D,Ponte,Seio frontal,Forame oval,Seio esfenoidal
MedMCQA,"Na impressão genômica, o DNA é modificado por:",,B,A) Acetilação,B) Metilação,C) Fosforilação,D) Desaminação
MedMCQA,Dormência e sensação de formigamento sentida no terço anterior da língua pode ser devido a:,,A,Bordas linguais excessivamente estendidas,Bordas linguais afiadas e ásperas,Alergia ao monômero residual de acrílico,Dimensão vertical excessiva
MedMCQA,A inervação da polpa é proveniente de,,A,Nervo trigêmeo,Nervo facial,Nervo glossofaríngeo,Nervo hipoglosso
MedMCQA,"Uma mulher de 62 anos apresentou confusão súbita e esbarrando nas coisas. No exame, ela estava alerta, orientada, com fala fluente e compreensão normal. Exame adicional revelou dificuldade em escrever (acalculia), confusão direita-esquerda, habilidades aritméticas prejudicadas, dificuldade em identificar os dedos. A ressonância magnética demonstrou focos de aumento de sinais T2 cortical e subcortical e áreas de realce leptomeníngeo. Diagnóstico mais provável:",,A,Síndrome de Gerstmann,Síndrome de Millard-Gubler,Síndrome de Anton,Psicose de Korsakoff
MedMCQA,Qual das seguintes afirmações sobre o tedizolid é verdadeira?,,B,Causa neuropatia periférica como efeito adverso,É ativo contra organismos gram-positivos,Possui baixa biodisponibilidade oral,É ativo contra anaeróbios
MedMCQA,Qual componente do cimento de óxido de zinco e eugenol confere sua resistência?,,B,Resina,Óxido de zinco,Acetato de zinco,Óleo de cravo
MedMCQA,"Um voluntário saudável foi submetido a um experimento de sangue. Foi feito um histórico com o voluntário antes do experimento sobre a exposição a NSAlDs, que ele negou especificamente. Mas nos testes, foi constatado que o BT estava aumentado. Todos os seguintes podem ser agentes causadores, exceto:",,D,Teofilina,Cefalosporina,Antidepressivos,Multivitaminas contendo Vitamina K
MedMCQA,Qual dos seguintes é um exemplo de placebo?,,C,Medicação herbal sem efeito conhecido,Fisioterapia,Cirurgia falsa,Terapia cognitivo-comportamental
MedMCQA,Os objetivos dietéticos para evitar a Doença Arterial Coronariana incluem,,D,Colesterol LDL inferior a 100 mg/dl,Gordura saturada <7% das calorias totais.,Consumo de álcool de 30 ml/dia,Todas as alternativas acima
MedMCQA,A erupção dentária é devido a,,D,Atividade osteoclástica,Proliferação de células no cript,Exfoliação do dente de leite,Forças eruptivas
MedMCQA,Os esteroides não têm um papel no tratamento de qual desses tumores?,,A,Sarcoma de Kaposi,Leucemia linfocítica crônica,Linfoma de Hodgkin,"Mieloma múltiplo, coloração de Gram, orofaringe"
MedMCQA,"Durante a extração cirúrgica do terceiro molar, a incisão distal é curvada bucalmente para evitar lesões em:",,B,Artéria bucal,Nervo lingual,Fibras temporais,BFP
MedMCQA,"Um recém-nascido de mãe diabética com peso de 3,8 Kg apresentou convulsões após 16 horas do nascimento. Qual é a causa?",,A,Hipoglicemia,Hipocalcemia,Asfixia ao nascer,Hemorragia intraventricular
MedMCQA,"Uma criança de 12 anos reclama de dor recorrente sobre o dente posterior maxilar direito, mas clinicamente não é possível encontrar cáries. Ele também relata episódios de frio e febre. O que deve ser aconselhado ao paciente?",,C,"Extrair o dente primário retido, ou seja, 54, 55","Extrair o dente 16, 54, 55",Encaminhar ao médico para avaliação do seio maxilar,Não fazer nada
MedMCQA,"Todos os dispositivos a seguir funcionam com o princípio de tração, exceto:",,B,Separador de arco duplo Ferrier.,Separador Elliot.,Separador Perry.,Nenhum
MedMCQA,Extensão dos processos odontoblásticos no esmalte,,A,Fuso de esmalte,Rachaduras,Dentina primária,Dentina secundária
MedMCQA,Dor aguda e rápida do dente transmitida ao cérebro por,,A,A) Fibras delta,B) Fibras C,C) Fibras Beta,D) Fibras Gama
MedMCQA,Qual destes é o método mais confiável para monitorar a ressuscitação de fluidos?,,A,Produção de urina,CVP,Frequência cardíaca,Pressão arterial
MedMCQA,O ensaio de Lipoarabinomanano (LAM) na urina é usado para triagem de?,,A,Mycobacterium tuberculosis,Pneumocystis jirovecii,Histoplasm capsulatum,Cryptococcus neoformans
MedMCQA,Qual dos seguintes não é um fixador de reticulação?,,C,Óxido de ósmio,Glutaraldeído,Metanol,Formaldeído
MedMCQA,Cholinomimético não é usado em qual das seguintes opções?,,A,Bradycardia,Glaucoma,Miastenia gravis,Atonia pós-cirúrgica ou íleo
MedMCQA,O gene que inibe o ciclo celular é -,,A,p53,RB,p16,Receptor Notch
MedMCQA,"A membrana celular de uma célula é livremente permeável a três íons X, Y e Z. No potencial de repouso da membrana, os respectivos potenciais de equilíbrio de X e Y são -30mV e -40mV. O que acontecerá com o potencial de membrana se um medicamento for infundido que pode bloquear a permeabilidade de Z?",,A,Despolarização,Hiperpolarização,Sem mudança,Hiperpolarização após repolarização
MedMCQA,Um paciente reclama de soltura de dentaduras dentro de duas a quatro horas após a inserção. A causa mais provável é:,,C,Psicológica,Adaptação irresponsiva,Oclusão defletiva,Dentadura não retentiva
MedMCQA,O localizador de ápice baseado em impedância dividida é:,,D,Geração 1,Geração 2,Geração 3,Geração 4
MedMCQA,Uma mãe vem com seu filho de 3 meses perguntando ao médico se ela pode dar cereais para seu filho. Quais problemas isso pode causar ao seu filho?,,A,Alergia devido ao conteúdo alimentar,Risco de infecção gastrointestinal,Desenvolvimento oromotor retardado,Alimentos contaminados levando a refluxo
MedMCQA,Qual dos seguintes dentes não possui 5 cúspides?,,A,Segundo molar mandibular,Primeiro molar mandibular,Terceiro molar mandibular,Primeiro molar maxilar
MedMCQA,"Um caso apresentado com dentes naturais inferiores e 7 implantes maxilares colocados, com espaço de 15 mm para a restauração. Qual seria o plano de tratamento ideal para o paciente?",,D,Coroa única e ponte retida por parafuso,Coroa única e ponte retida por cimento,Overdenture,Dentadura híbrida
MedMCQA,"No hidropsia não imune, qual dos seguintes NÃO é observado:",,D,Edema de pele,Ascite,Placenta grande,Cardiomegalia
MedMCQA,"Para um pré-molar maxilar em uma radiografia, a raiz facial aparece distal à raiz palatina, o filme foi exposto com:",,C,Aumento da angulação vertical,Diminuição da angulação vertical,Do lado mesial do dente,Do lado distal do dente
MedMCQA,"Lalloo, uma criança de 13 anos, tem o hábito severo de chupar o dedo. Ao ser examinado, ele apresenta uma má oclusão de Classe II, mordida aberta anterior com um overjet de 12mm. Seu cefalograma mostrará:",,B,Altura facial anterior e posterior normais,Altura facial anterior aumentada e altura facial posterior normal,Altura facial posterior aumentada e altura facial anterior normal,Altura facial posterior aumentada e altura facial anterior aumentada
MedMCQA,"Durante a colocação do implante, o torque máximo não deve ser superior a?",,D,100 N,50 N,60 N,70 N
MedMCQA,A parte lateral da fossa craniana média e a fossa craniana posterior são divididas por:,,A,Osso temporal petroso,Crista galli,Sulco transverso,Osso esfenoide
MedMCQA,"Uma primigesta de 27 anos apresenta hipertensão induzida pela gravidez com pressão arterial de 150/100 mmHg às 32 semanas de gestação, sem outras complicações. Posteriormente, sua pressão arterial é controlada com tratamento. Se não houver complicações, a gravidez deve ser encerrada em:",,B,40 semanas completas,37 semanas completas,35 semanas completas,34 semanas completas
MedMCQA,"Uma criança de 1,5 anos foi levada ao pronto-socorro com histórico de queimadura por água quente em ambas as mãos e palmas. A lesão estava rosa, exsudativa e dolorosa ao ar e ao toque. Qual é a melhor conduta para esse paciente?",,A,Gaze de parafina e curativo,Curativo de colágeno,Excisão e enxerto,Aplicar pomada de sulfassalazina de prata a 1% e manter a ferida aberta
MedMCQA,O crescimento da maxila na direção vertical é devido a:,,A,Crescimento do alvéolo,Crescimento nas suturas,Crescimento da base craniana,Crescimento da sincondrose
MedMCQA,"Embora a técnica padronizada seja simples e rápida, ela não é usada com frequência porque:",,B,Técnica imprecisa.,Depende da forma inerente do arquivo para dar forma ao canal.,Canais acessórios não são removidos eficientemente.,Todas as alternativas acima.
MedMCQA,diarreia associada ao clostridium difficile:,,D,Aminopenicilinas,Carbapenemas,Macrolídeos,Fluoroquinolonas
MedMCQA,"Qual dos seguintes é o sintoma sistêmico mais comum durante a migração da fase larval de Helmintos como Ancylostoma, Strongyloides e Ascaris?",,A,Assintomático,Pneumonite,Falência hepática,Larva migrans
MedMCQA,A polícia trouxe um paciente sem resposta para você. O que você fará primeiro?,,B,Iniciar imediatamente as compressões torácicas,Verificar o pulso carotídeo,Verificar a resposta e chamar ajuda,Iniciar respirações de resgate
MedMCQA,Organize as seguintes camadas da epiderme da camada superficial para a camada profunda - Corneócitos Células de Merkel Melanócitos Células de Langerhans,,D,Corneócitos> células de Merkel> melanócitos> células de Langerhans,Células de Merkel> corneócitos> melanócitos> células de Langerhans,Melanócitos> células de Merkel> corneócitos> células de Langerhans,corneócitos> células de Langerhans> melanócitos> células de Merkel
MedMCQA,Um material se torna líquido ao aplicar uma tensão de cisalhamento crítica. Esse tipo de fluxo é chamado de?,,B,Corpo newtoniano,Corpo de Bingham,Dilatante,Pseudoplástico
MedMCQA,O tempo de ajuste do fosfato de zinco pode ser retardado por?,,D,Aumento na proporção de pó para líquido,Diluir o líquido com água,Aumentar a adição de pó ao líquido,Diminuir a adição de pó ao líquido
MedMCQA,"As características da dor cardíaca em repouso são todas, exceto",,D,Compressiva,Radiante,Atroz,Nenhuma das opções acima
MedMCQA,"Todas as seguintes afirmações sobre um filme radiográfico dental intraoral são verdadeiras, exceto:",,B,É composto por uma base de acetato de celulose revestida com uma emulsão de brometo de prata,Possui uma fina folha de chumbo que fica na frente do filme para evitar superexposição,Possui um ponto em relevo que deve ser orientado em direção à fonte de raios X,É exposto pela ação direta dos raios X na emulsão
MedMCQA,Apenas dente em que a superfície bucal é composta por 2 lobos,,A,Primeiro molar superior,Primeiro molar inferior,Segundo molar superior,Segundo molar inferior
MedMCQA,Niacina e riboflavina ajudam em:,,A,Reações de redox,Reação de transaminação,Transferência de grupo metil,Transferência de grupo amina
MedMCQA,A artéria meníngea média está associada a qual forame:,,D,Ovale,Rotundum,Stylomastoid,Spinosum
MedMCQA,União assimétrica de suturas resultando em crânio torcido conhecido como:,,A,Plagiocefalia.,Anencefalia.,Escapulocéfalo.,Solicocefalia.
MedMCQA,A cirurgia do lábio leporino deve ser realizada em:,,C,20 - 30 semanas,2 - 12 meses,3 - 6 meses,5 anos
MedMCQA,Forças excessivas de oclusão dentro do limite fisiológico irão:,,A,Aumentar a largura do LDP,Diminuir a largura do LDP,A largura permanecerá a mesma,Trauma por oclusão
MedMCQA,Qual das seguintes é a característica mais consistente da glomerulonefrite rapidamente progressiva (RPGN)?,,A,Formação de crescente,Proliferação de células mesangiais,Deposição de IgA,Perda de processos dos pés
MedMCQA,Qual dos seguintes não é um fator de risco para malignidade?,,B,Aneuploidia do DNA,Gênero masculino,Candidíase invasiva,Leucoplasia em não fumantes
MedMCQA,"Uma pessoa sofreu um acidente de trânsito e chegou ao pronto-socorro com contusão na parede anterior do tórax, com frequência cardíaca de 90 batimentos por minuto, pressão arterial de 120/80 mm Hg e frequência respiratória de 16 respirações por minuto. Os sons cardíacos normais são audíveis, mas os sons respiratórios estavam diminuídos no lado esquerdo e a traqueia estava desviada para a direita. Qual das seguintes é a primeira linha de tratamento?",,C,Toracostomia com agulha,Pericardiocentese,Inserção e drenagem de tubo torácico,Toracotomia exploratória imediata
MedMCQA,Marcador universal de células-tronco epiteliais limbares:,,D,Elastina,Queratina,Colágeno,ABCG2
MedMCQA,Um menino de 10 anos com mordida de cachorro não provocada vem até você. Qual ação é apropriada?,,A,Dar vacina derivada de cultura de células,Não administrar vacina e observar o cachorro por 10 dias,Matar o cachorro e enviar o cérebro para biópsia,Nenhuma ação adicional é necessária
MedMCQA,"O pessoal de escritório que está em maior risco de toxicidade por NO, para prevenir isso, o teste mais sensível para detecção de óxido nitroso é",,C,Fluxo laminar,Dosímetro,Espectrofotômetro infravermelho,Alta velocidade de sucção
MedMCQA,"Aos 12 anos de idade, o segundo molar mandibular terá?",,B,"Coroa completa com 1/3 da raiz, ápice aberto","Coroa completa com 3/4 da raiz, ápice aberto",3/4 da coroa completa,"Coroa completa com 1/4 da raiz, ápice aberto"
MedMCQA,Quais dos seguintes movimentos são realizados por um côndilo não funcional?,,C,Para frente,"Para baixo, para frente e lateral","Para baixo, para frente e medial","Para baixo, para trás e medial"
MedMCQA,Um rabdomioma é um tumor originário de,,C,tecido nervoso,músculo liso,músculo estriado,endotélio vascular
MedMCQA,Qual é o resultado adverso de uma prótese total com espaço livre menor que o normal?,,B,Irritação da mucosa,Reabsorção irresistível da crista alveolar,Úlceras não específicas,Nenhuma das alternativas acima
MedMCQA,Qual das seguintes opções descreve melhor o tempo de trabalho do material de impressão?,,C,Após o início das propriedades elásticas do material de impressão,Logo após o início das propriedades elásticas do material de impressão,O tempo desde o início da mistura até logo antes do início das propriedades elásticas do material de impressão,Perda de brilho do material de impressão
MedMCQA,O objetivo da esterilização é eliminar,,C,Bactérias,Vírus,Formadores de esporos,Fungos
MedMCQA,Baixa densidade geralmente significa,,D,Alta resistência,Baixa resistência,Baixa temperatura de fusão,Peso mais leve
MedMCQA,A complicação mais comum após a artrite reumatoide da ATM é:,,A,Anquilose,Condrocondrose sinovial,Subluxação,Osteoartrite
MedMCQA,"Em RVG, a profundidade de bits é vista como?",,A,8 bits,6 bits,12 bits,4 bits
MedMCQA,"Durante a gravidez, o débito cardíaco aumenta de 30 a 40% durante?",,D,20ª semana de gravidez,22 semanas de gravidez,24 semanas de gravidez,28 semanas de gestação
MedMCQA,"O machado de esmalte é diferenciado do cinzel por todos, exceto:",,C,Curvado em apenas um plano,A lâmina é maior,A lâmina é perpendicular ao eixo longo do cabo,A lâmina é mais pesada
MedMCQA,"No orifício pélvico, qual é o diâmetro ântero-posterior mais curto?",,B,Conjugado verdadeiro,Conjugado obstétrico,Conjugado anatômico,Diâmetro bispinoso
MedMCQA,"Um paciente foi encontrado com esplenomegalia, anemia e icterícia. Todas as afirmações a seguir são verdadeiras sobre essa condição, exceto:",,D,Aumento de urobilinogênio,Aumento de LDH,Diminuição de haptoglobina,Contagem baixa de reticulócitos
MedMCQA,A parte dorsal da 2ª bolsa dá origem a:,,C,Amígdalas.,Timo.,Recesso tubotimpânico.,Ântrum timpânico.
MedMCQA,Os eferentes de leksell vão para,,B,Interneurônios,Fuso,Órgão tendinoso de Golgi,Células de garrafa de Golgi
MedMCQA,"Um recém-nascido com os olhos fechados 6 horas após o nascimento chorando vigorosamente, sem retração do peito e movimentos dos quatro membros. Classificação da resposta comportamental neonatal -",,D,Estado 1,Estado 3,Estado 5,Estado 6
MedMCQA,A histiocitose de Langerhans era anteriormente conhecida como,,D,Granuloma eosinofílico,Granuloma piogênico,Doença de Letterer-Siwe,Histiocitose x
MedMCQA,Em qual dos seguintes casos o sinal de Hamman é observado?,,C,Hematoma,NaOCl acidental,Pneumomediastinite,Carcinoma oral
MedMCQA,A língua magenta e rachaduras nos cantos da boca são vistas na deficiência de:,,C,Vitamina B1,Niacina,Riboflavina,Ácido pantotênico
MedMCQA,"A altura de um grupo de 20 meninos com 10 anos de idade foi de 140 ± 13 cm e 20 meninas da mesma idade foi de 135 cm ± 7 cm. Para testar a significância estatística da diferença de altura, o teste aplicável é -",,C,X2,Z,t,F
MedMCQA,A adrenalina usada para controlar o sangramento durante a cirurgia pode resultar em:,,B,A) Síncope,B) Arritmias cardíacas,C) Queda drástica na pressão arterial,D) Precipitação de reação alérgica
MedMCQA,"Após a remoção do curativo periodontal após uma semana de cirurgia, você vê um tecido de granulação elevado e redondo. Provavelmente, isso se deve a:",,C,Alergia aos componentes do curativo,Achado normal,Remoção incompleta de cálculo,Irritação mecânica devido ao curativo periodontal
MedMCQA,Qual centro recebe primeiro a entrada do controle neural do CVS?,,B,RVLM,NTS,Núcleo ambíguo,Núcleo da rafe
MedMCQA,O medicamento anti-hipertensivo contraindicado na gravidez é:,,C,A) Hidralazina,B) Metildopa,C) Enalapril,D) Amlodipina
MedMCQA,Qual é a sequela mais comum da luxação traumática do ombro em adultos jovens?,,B,Ruptura do manguito rotador,Luxação recorrente do ombro,Capsulite adesiva,Tendinite subescapular
MedMCQA,Qual das seguintes opções descreve melhor o suicídio paradoxal?,,B,Suicídio após tomar baixa dose de droga,Suicídio ocorrendo no momento em que o paciente começa a se recuperar,Tendência suicida aumenta à medida que o paciente melhora,Completamento acidental do suicídio
MedMCQA,A diminuição no creep ocorre em:,,C,A) Sob trituração ou sobre trituração de amálgama,B) Diminui com a pressão de condensação,C) Aumenta com a pressão de condensação,D) Não pode ser previsível
MedMCQA,A língua queimada pode não estar associada a,,A,Ranula,Diabetes mellitus,Anemia perniciosa,Irritação local
MedMCQA,Uma criança de 10 anos apresenta dor no tornozelo. O raio-x mostra uma lesão lítica com borda esclerótica no calcâneo. Os seguintes achados de HPE foram observados. Qual é o seu diagnóstico:,,D,Eumicose,PVNS,Ocronose,Pseudotumor hemofílico
MedMCQA,Olympian brown e rhagdes são vistos em-,,C,Doença de inclusão de CMV,Displasia ectodérmica,Sífilis congênita,Síndrome de hiper IgE
MedMCQA,O palato mole é composto por:,,D,Palatoglosso e palatofaríngeo,Úvula,Membrana mucosa e músculos,Todas as alternativas acima
MedMCQA,Qual das seguintes afirmações sobre proteoglicanos é verdadeira?,,D,consistem em uma proteína central com cadeias de GAG anexadas.,GAG contêm açúcares ácidos oxidados,cargas negativas fazem com que radiem a partir da proteína,Todas essas
MedMCQA,A mutação do gene GNAS-1 está associada a:,,A,Displasia fibrosa,Osteogênese imperfeita,Amelogênese imperfeita,Displasia cleidocraniana
MedMCQA,O que é um cisto hidático?,,A,Parasitário por natureza,Fúngico,Congênito,Viral
MedMCQA,Qual desses anticonvulsivantes causa contração do campo visual?,,C,Levetiracetam,Fenitoína,Vigabatrina,Etossuximida
MedMCQA,"Uma criança de 7 anos com lesões cariosas profundas em vários dentes, sem dor, qual deve ser o plano de tratamento:",,A,Capeamento pulpar indireto,Pulpectomia de todos os dentes,Tratamento endodôntico de todos os dentes,Extração dos dentes
MedMCQA,O médico ou enfermeiro que revela a identidade da vítima de estupro é punível nos termos da seguinte seção do Código Penal Indiano?,,A,Seção 228A,Seção 222A,Seção 224A,Seção 226A
MedMCQA,Declaração incorreta sobre os ramos cinzentos comunicantes é,,C,Conectado ao nervo espinhal,Presente medialmente aos ramos brancos comunicantes,Transporta fibras pré-ganglionares,As fibras são não mielinizadas
MedMCQA,Um paciente de 8 anos com um dente supranumerário e apinhamento no arco vem até você; qual será sua linha de tratamento:,,A,Esperar e observar,Extração e tratamento ortodôntico,Extração serial,Intervenção imediata com aparelho de remoção
MedMCQA,O consumo de qual dos seguintes venenos produz descoloração azulada do estômago durante o exame post-mortem?,,A,Sódio amital,Soneryl,Ácido oxálico,Arsênico
MedMCQA,A classificação é dada por:,,D,Ackerman,Proffit,Dewey,Ambos 1 e 2
MedMCQA,Qual medicamento é dado para prevenir o mal de altitude agudo?,,A,Acetazolamida,Dexametasona,Digoxina,Diltiazem
MedMCQA,Uma episiotomia deve ser realizada em uma primigesta em trabalho de parto. Qual dessas é uma vantagem da episiotomia mediolateral em relação à episiotomia mediana?,,A,Menor chance de extensão,Pode ser reparada facilmente,Menos complicações,Menor perda de sangue
MedMCQA,Normalmente visto na coluna lombar?,,B,Escoliose,Lordose,Cifose,Cifose
MedMCQA,"A mãe de uma criança de 10 meses veio com uma reclamação de não erupção dos dentes, qual será o protocolo de tratamento?",,A,Esperar e observar,Você fará uma OPG que mostra os brotos dentários em desenvolvimento,PA vista do crânio que mostra os brotos dentários em desenvolvimento,Consulta pediátrica
MedMCQA,"Uma criança de 3 anos apresenta hepatosplenomegalia. Ao examinar a medula óssea, são observadas células grandes com aparência de papel amassado. Qual dos seguintes compostos deve ter se acumulado nessas células?",,B,Espingomielinas,Gulcocerebrosídeos,Ceramidas,Sulfatídeos
MedMCQA,Qual dos seguintes é um reagente de fase aguda negativa?,,C,Ferritina,Haptoglobina,Albumina,Proteína C-reativa
MedMCQA,"Qual dos seguintes levará à propagação de doenças transmissíveis durante um desastre, exceto",,D,Diarréia,Infecção Respiratória Aguda,Sarampo,Desnutrição
MedMCQA,Qual dos seguintes medicamentos deve ser vendido apenas mediante apresentação de receita médica por um médico registrado?,,A,Programa H,Programa G,Programa X,Programa M
MedMCQA,"Uma mulher de 40 anos veio com sensação de plenitude no quadrante superior direito do abdômen com diabetes tipo II, hiperlipidemia, a biópsia mostra",,C,Cirrose biliar,Trombose luminal,Esteato-hepatite não alcoólica,Hepatite autoimune
MedMCQA,Número mínimo de lobos necessários para formar um dente permanente,,D,1,2,3,4
MedMCQA,A assistência obstétrica de emergência abrangente não inclui:,,B,Remoção manual da placenta,Histerectomia,Transfusão de sangue,Cesariana
MedMCQA,"Todas as afirmações a seguir são verdadeiras sobre os túbulos dentinários, exceto:",,B,A camada pulpar interna contém mais túbulos dentinários do que a camada externa de dentina,O diâmetro dos túbulos dentinários varia de 5 a 7μm,O diâmetro do túnel dentinário é maior na camada pulpar do que na camada externa,A adesão é mais difícil na camada interna da dentina em comparação com a superfície externa
MedMCQA,"Uma pessoa é HBsAg positiva, mas Anti-HBc Ab é negativo. Qual deve ser o próximo passo?",,B,Repetir o teste após 6 meses,Verificar a carga de DNA do HBV,"Verificar o HBeAg, se positivo, iniciar interferon",Reassegurar o paciente de que ele não tem nenhuma doença
MedMCQA,"Uma primigesta de 34 anos, com 11 semanas de gestação, comparece à sua clínica obstétrica com queixa principal de exposição a uma erupção cutânea. Seu marido é HIV+ e apresentou uma erupção cutânea em sua nádega esquerda, que consiste em vesículas agrupadas em uma base maculopapular, há 4 dias. Ela fez o teste de HIV, que deu negativo. Sua frequência cardíaca é de 86/min, pressão arterial = 100/60 mmHg, frequência respiratória de 10/min e temperatura = 98,7F. Os batimentos cardíacos fetais são audíveis via Doppler. Qual é o próximo passo no manejo:",,D,Administrar altas doses de aciclovir ao bebê no momento do nascimento.,Administrar altas doses de aciclovir à paciente agora.,Administrar imunoglobulina contra varicela ao bebê no momento do nascimento.,Administrar imunoglobulina contra varicela à paciente.
MedMCQA,Qual das seguintes opções é mais apropriada para pseudopocket?,,D,É uma característica da periodontite,Está associado à perda de inserção,Está associado à perda de fibras trans-septais,Pode ter uma profundidade maior que 3 mm
MedMCQA,É necessário remover uma inlay disto-oclusal de um pré-molar maxilar. O procedimento de escolha é:,,A,Cortar o istmo e remover a inlay em 2 partes,Usar um cinzel e martelo,Tentar retirar a inlay com a ajuda de um elevador,Remover a inlay em uma única peça
